Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,LR_Signal
2015-01-23,25.536766184965792,25.8664922048227,25.361668958492903,25.691396713256836,185859200,0.0,0.0,1
2015-01-26,25.864221489337943,26.005208729207617,25.650468768454132,25.718687057495117,222460000,0.0,0.0,1
2015-01-27,25.56405983710488,25.57770488461648,24.793181446638396,24.818195343017578,382274800,0.0,0.0,1
2015-01-28,26.748798011583983,26.860224163647686,26.221235275268555,26.221235275268555,585908400,0.0,0.0,1
2015-01-29,26.450909074012642,27.103541311729074,26.278086279529933,27.037595748901367,337745600,0.0,0.0,1
2015-01-30,26.923898584562753,27.28773470025128,26.571431317388193,26.641925811767578,334982000,0.0,0.0,1
2015-02-02,26.844305005615947,27.098989374555778,26.396331161796525,26.976194381713867,250956400,0.0,0.0,1
2015-02-03,26.946635303629,27.080799152975967,26.744251430436524,26.980745315551758,207662800,0.0,0.0,1
2015-02-04,26.94663629745144,27.40370631029619,26.903430165095305,27.18767738342285,280598800,0.0,0.0,1
2015-02-05,27.399997145626696,27.44794068438246,27.22421055662265,27.38173484802246,168984800,0.1175,0.0,1
2015-02-06,27.39999454552451,27.452503218259896,27.041571080453167,27.151153564453125,174826400,0.0,0.0,1
2015-02-09,27.064403601951284,27.35890295278186,27.03700754388943,27.33150863647461,155559200,0.0,0.0,1
2015-02-10,27.434236822891695,27.886262135631313,27.43195512470044,27.856582641601562,248034000,0.0,0.0,1
2015-02-11,28.027808801144285,28.518643967204426,27.96616984622261,28.509511947631836,294247200,0.0,0.0,1
2015-02-12,28.77889412097604,29.103074648606142,28.66702995380141,28.87021255493164,297898000,0.0,0.0,1
2015-02-13,29.057417154497553,29.057417154497553,28.685296549473197,29.01175880432129,217088800,0.0,0.0,1
2015-02-17,29.105358300054526,29.42269027124231,28.975230089004526,29.182979583740234,252609600,0.0,0.0,1
2015-02-18,29.137322884246604,29.39986277688938,29.09622966851335,29.386165618896484,179566800,0.0,0.0,1
2015-02-19,29.33136678116222,29.4569298398354,29.297123894027877,29.32451820373535,149449600,0.0,0.0,1
2015-02-20,29.363330958238496,29.564231872558594,29.233204490378405,29.564231872558594,195793600,0.0,0.0,1
